,Date,Tweet,BSA_sentiments,vader_sentiments,Stock value
0,2022-07-29 15:22:00,Were working super hard isnt ready yet,1,0.3378,859.8800048828125
1,2022-07-29 15:04:00,Wikipedia losing objectivity,-1,-0.3818,859.4400024414062
2,2022-07-29 14:56:00,I cant say sure Starship reach escape velocity hubris certainly,-1,0.3045,863.8837280273438
3,2022-07-27 16:21:00,Sub lightspeed thats needed interstellar Intergalactic tough,1,-0.128,811.6527099609375
4,2022-07-27 16:17:00,The media clickseeking machine dressed truthseeking machine,0,0.0,810.969970703125
5,2022-07-27 15:50:00,This compatible existing religions surely God would want us see Creation,1,0.7506,807.3599853515625
6,2022-07-27 15:48:00,A new philosophy future needed I believe curiosity Universe expand humanity become multiplanet interstellar species see whats,0,0.3182,806.796875
7,2022-07-27 15:42:00,A new philosophy future needed,0,0.0,807.4400024414062
8,2022-07-27 14:51:00,Moreover I talked Sergey yesterday says neither anyone knows talked WSJ,0,0.0,805.0800170898438
9,2022-07-27 14:41:00,As public person standard win defamation lawsuit news org almost impossible They could say Im Satan source psychicNicole public person could win I hope sues done many fake hit pieces,-2,0.7579,805.5570068359375
10,2022-07-26 16:21:00,Thanks Jeff,0,0.4404,773.0599975585938
11,2022-07-26 16:03:00,Bon voyage,0,0.0,773.3400268554688
12,2022-07-26 15:49:00,Sickonolfis pack attack chihuahuas burning phone lines today revenge bogus article,-4,-0.7579,777.780029296875
13,2022-07-25 19:09:00,Das Baby would hit,0,0.0,804.590087890625
14,2022-07-25 18:26:00,The media clickseeking machine dressed truthseeking machine,0,0.0,808.319091796875
15,2022-07-25 18:13:00,______ ______,0,0.0,807.75
16,2022-07-25 18:10:00,Sure seems way,0,0.3182,808.02001953125
17,2022-07-25 17:47:00,The real problem zero journalistic integrity,-1,-0.0258,809.8049926757812
18,2022-07-25 17:35:00,A picture worth tweets,1,0.2263,811.7100219726562
19,2022-07-25 17:30:00,Yeah Sergey yesterday afternoon,0,0.296,811.739990234375
20,2022-07-25 13:30:00,Singlepiece casting reduces weight greatly simplifies factory increases ride quality amp reduces road noise,0,0.0,813.510009765625
